postcode,shopcode,duration,livraison
2000,19,2925,1
2000,119,4216,1
2000,53,4431,0
2000,345,4467,0
2000,59,4863,0
2000,339,4877,0
2100,119,3395,1
2100,53,3461,1
2100,345,3532,0
2100,19,4195,0
2100,122,4897,0
2100,54,5446,0
2110,53,3461,1
2110,345,3718,0
2110,119,3947,1
2110,19,4949,0
2110,122,5083,0
2110,54,5996,0
2120,53,3887,1
2120,19,4367,0
2120,119,4394,1
2120,345,4646,0
2120,339,5359,0
2120,122,5777,0
2130,19,2478,1
2130,59,3563,1
2130,28,4544,1
2130,148,4888,1
2130,339,5094,0
2130,50,5225,0
2140,19,4047,0
2140,339,4313,0
2140,53,4916,0
2140,119,5338,1
2140,345,5589,0
2140,122,6795,0
2150,19,2907,0
2150,339,3349,0
2150,119,5152,1
2150,53,5376,0
2150,345,5404,0
2150,59,5780,0
2160,19,2424,1
2160,339,4473,0
2160,59,5201,1
2160,119,5482,1
2160,54,5672,0
2160,53,5708,0
2170,53,4184,1
2170,339,5595,0
2170,19,6104,0
2170,345,6148,0
2170,119,6199,0
2170,122,6261,0
2190,19,1883,1
2190,339,3345,0
2190,59,4756,1
2190,119,4940,1
2190,53,5170,0
2190,345,5192,0
2200,19,3247,1
2200,59,3568,1
2200,54,3817,1
2200,1,4298,0
2200,28,4435,0
2200,62,4684,0
2210,59,2898,1
2210,19,2998,1
2210,28,3879,1
2210,54,4127,1
2210,148,4223,0
2210,50,4559,0
2220,19,2456,1
2220,59,4259,1
2220,54,4843,1
2220,339,5042,0
2220,28,5239,0
2220,1,5324,0
2230,345,3526,0
2230,53,3656,1
2230,119,3912,1
2230,122,4892,1
2230,19,4946,0
2230,54,5961,0
2240,119,3582,1
2240,19,3795,0
2240,53,3812,0
2240,345,3834,0
2240,122,5199,0
2240,54,5438,0
2250,19,3559,0
2250,339,4341,0
2250,119,4849,1
2250,53,5078,0
2250,345,5101,0
2250,122,6466,0
2260,53,3790,1
2260,339,4113,0
2260,19,4976,0
2260,345,5645,0
2260,119,5646,0
2260,122,5709,0
2270,19,3559,0
2270,119,3981,1
2270,53,4120,0
2270,345,4232,0
2270,339,5525,0
2270,122,5597,0
2290,19,4367,0
2290,54,4394,1
2290,119,4661,1
2290,59,4973,1
2290,1,5078,0
2290,28,5215,0
2300,119,3905,1
2300,54,3934,1
2300,19,4274,0
2300,53,4412,0
2300,345,4464,0
2300,1,5022,0
2310,59,2580,1
2310,19,3414,0
2310,28,3560,1
2310,148,3904,1
2310,50,4241,0
2310,115,4246,0
2320,19,3912,0
2320,119,4717,1
2320,53,4932,0
2320,345,4969,0
2320,59,5004,0
2320,54,5083,0
2330,19,3070,1
2330,59,3371,1
2330,28,4351,1
2330,148,4696,1
2330,10,4721,0
2330,50,5032,0
2340,19,3298,0
2340,339,3379,0
2340,119,5541,1
2340,345,5793,0
2340,53,5855,0
2340,59,6172,0
2350,19,3418,0
2350,339,4386,0
2350,119,4792,1
2350,53,4904,0
2350,345,5043,0
2350,59,6303,0
2360,339,3437,0
2360,19,3730,0
2360,53,5648,0
2360,119,6357,1
2360,345,6609,0
2360,59,7093,0
2370,19,2934,1
2370,59,4623,1
2370,54,4701,1
2370,119,5153,1
2370,1,5183,0
2370,339,5225,0
2380,19,4187,0
2380,119,4394,1
2380,53,4601,0
2380,54,4643,1
2380,345,4646,0
2380,59,5033,0
2390,119,3786,1
2390,53,3978,0
2390,345,4037,0
2390,19,4210,0
2390,122,5402,0
2390,54,5857,0
2400,59,2219,1
2400,19,2319,1
2400,28,3200,1
2400,148,3544,1
2400,50,3881,0
2400,115,3886,0
2410,19,4021,0
2410,119,4271,1
2410,53,4478,0
2410,345,4522,0
2410,54,5160,0
2410,122,5887,0
2420,53,2870,1
2420,345,3031,0
2420,119,3671,1
2420,122,4396,1
2420,19,4925,0
2420,54,5610,0
2430,119,2789,1
2430,53,2994,1
2430,345,3040,0
2430,19,3609,0
2430,122,4405,0
2430,54,4859,0
2440,119,2952,1
2440,53,3145,1
2440,345,3203,0
2440,19,3772,0
2440,54,4366,0
2440,122,4568,0
2450,53,3027,1
2450,345,4822,0
2450,122,4939,1
2450,339,5118,0
2450,19,5129,0
2450,119,5157,0
2460,59,2636,1
2460,54,3687,1
2460,19,3708,0
2460,1,3859,0
2460,28,3996,0
2460,148,4136,0
2470,59,2621,1
2470,19,3264,1
2470,28,3602,1
2470,54,3826,1
2470,148,3946,0
2470,1,4089,0
2480,119,3382,1
2480,53,3935,1
2480,345,4038,0
2480,19,4606,0
2480,54,4764,0
2480,122,5403,0
2490,119,2747,1
2490,53,3037,1
2490,345,3167,0
2490,19,4185,0
2490,122,4471,0
2490,54,4686,0
2500,339,2988,0
2500,53,4477,1
2500,19,4633,0
2500,122,6389,1
2500,119,6423,0
2500,345,6675,0
2510,53,3183,1
2510,345,4794,0
2510,19,4951,0
2510,119,4979,1
2510,122,5112,0
2510,339,5556,0
2520,119,3222,1
2520,53,3824,1
2520,345,3895,0
2520,54,4400,1
2520,19,4436,0
2520,122,5260,0
2540,59,2938,1
2540,28,3919,1
2540,19,3959,0
2540,148,4263,1
2540,50,4599,0
2540,115,4604,0
2550,339,3551,0
2550,53,4651,1
2550,19,4833,0
2550,119,6123,1
2550,345,6375,0
2550,122,6561,0
2570,59,3318,1
2570,19,3694,1
2570,28,4298,1
2570,148,4642,1
2570,50,4979,0
2570,115,4984,0
2580,339,4307,0
2580,53,4425,1
2580,19,4740,0
2580,119,5711,1
2580,345,5963,0
2580,122,6364,0
2590,119,2703,1
2590,345,3382,0
2590,53,3577,1
2590,19,4608,0
2590,54,4733,0
2590,122,5047,0
2600,54,3120,1
2600,59,3496,1
2600,1,3601,0
2600,28,3737,1
2600,62,3986,0
2600,148,4241,0
2610,119,3233,1
2610,53,3455,1
2610,345,3485,0
2610,19,3968,0
2610,122,4850,0
2610,54,4946,0
2620,53,3695,1
2620,339,4404,0
2620,19,5079,0
2620,119,5171,1
2620,345,5423,0
2620,122,5628,0
2630,53,4133,1
2630,345,5107,0
2630,119,5493,1
2630,19,5669,0
2630,122,5967,0
2630,339,6274,0
2640,119,3105,1
2640,53,3763,1
2640,345,3986,0
2640,19,4428,0
2640,54,4755,0
2640,122,5225,0
2650,19,3008,1
2650,59,3123,1
2650,28,4103,1
2650,148,4448,1
2650,50,4784,0
2650,115,4789,0
2670,119,4125,1
2670,19,4222,0
2670,53,4326,0
2670,345,4376,0
2670,54,4670,0
2670,59,5370,0
2680,119,3001,1
2680,53,3182,1
2680,345,3252,0
2680,19,3821,0
2680,122,4617,0
2680,54,5016,0
2690,119,2889,1
2690,53,3081,1
2690,345,3140,0
2690,19,3708,0
2690,122,4505,0
2690,54,4585,0
2700,19,3469,0
2700,119,3719,1
2700,53,3928,0
2700,345,3970,0
2700,54,4328,0
2700,122,5335,0
2720,119,3230,1
2720,53,3451,1
2720,345,3481,0
2720,19,4050,0
2720,122,4847,0
2720,54,5301,0
2760,119,2634,1
2760,53,2722,1
2760,345,2771,0
2760,19,3850,0
2760,122,4136,0
2760,54,4732,0
2790,119,3039,1
2790,53,3344,1
2790,345,3403,0
2790,19,3971,0
2790,122,4768,0
2790,54,4958,0
2800,19,3197,0
2800,119,3446,1
2800,53,3651,1
2800,345,3698,0
2800,54,4849,0
2800,122,5063,0
2810,59,2143,1
2810,28,3123,1
2810,19,3281,0
2810,148,3467,1
2810,50,3804,0
2810,115,3809,0
2820,19,2508,1
2820,339,3965,0
2820,119,4737,1
2820,53,4958,0
2820,345,4988,0
2820,59,5382,0
2830,339,3158,0
2830,53,4914,1
2830,19,5047,0
2830,122,6810,1
2830,119,6845,0
2830,345,6978,0
2840,19,2041,1
2840,339,4314,0
2840,59,4914,1
2840,119,5632,1
2840,10,5743,0
2840,345,5883,0
2850,19,3076,1
2850,59,3784,1
2850,28,4764,1
2850,148,5108,1
2850,50,5445,0
2850,115,5450,0
